,question,relevant_documents_from_dense_retrieval
10,מדוע תחום האנרגיה הוגדר כאתגר ראשון במעלה במאה ה-21?,"[Document(id='e26af464-548f-42bd-811a-89dc6aac34b2', metadata={'source': '361-2025.pdf', 'start_index': 12315}, page_content='פסא"", יוזמים, ובעלי יכולת מוכחת בפיתוח, מחקר,\nוקידום טכנולוגיות בעלות השפעה על כל תחומי החיים. היכולת לשמור על מעמד זה בעידן ""אוטוסטרדת המידע"",\nשבו העולם מתקדם במהירות בנושאי הנדסת מערכות מחשוב, תקשורת ורשתות, נשענת על היכולת להכשיר\nמהנדסים בעלי ראייה נ'), Document(id='d89a0f02-a2b0-4207-bb1f-4f7775688b0d', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� .\n125\n לימודי מוסמכים בחוג להנדסת אלקטרואופטיקה ופוטוניקה\nרקע כללי\nהמאה העשרים ואחד נחשבת למאה של הפוטוניקה בדומה למאה הקודמת שנחשבה למאה של\nהאלקטרוניקה. שנת 2015 נקבעה על ידי ארגון יוניסקו בזמנו כשנת האור העולמית על מנת לציין את\nחשיבות הנושא בחיי האנושות')]"
11,כיצד מעריכים את הגידול בצריכת האנרגיה עד שנת 2040?,"[Document(id='9193996b-b109-44ee-8fd8-2bed91cb392b', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='� הידע הקיים, העמדת\nהתיאוריות המדעיות במבחן המידע החדש שמצטבר והצעת תיאוריות חדשות. המחקר הוא גולת הכותרת של\nהעיסוק המדעי והוא מגדיר את חזית הידע. ההתנסות במחקר היא בעלת חשיבות עליונה בחינוך לחשיבה עצמאית,\nיצירתית וביקורתית ולהצמחת דור חדש של חוקרים. קיימות ב'), Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
12,אילו מקורות אנרגיה נחשבים למתחדשים על פי התכנית להנדסת אנרגיה?,[]
13,איך התכנית מתייחסת לחסכון והתייעלות אנרגטית בבניה ובתעשייה?,[]
14,מהן אפשרויות התעסוקה של בוגרי הנדסת אנרגיה בתחום הנדסה גיאותרמית?,[]
15,כיצד מתמודדים עם אתגרי האנרגיה המודרניים לפי תוכנית הלימודים?,[]
16,מדוע גדלה הדרישה למהנדסי אנרגיה בתחום של מקורות מתחדשים?,[]
17,כיצד התכנית בהנדסת אנרגיה משלבת נושאים של חומרים ואנרגיה?,[]
18,מהו הדגש על מערכות בקרה ופקוח בהפקה של אנרגיה בתכנית זו?,[]
19,באילו מקומות יוכלו בוגרי התכנית לעבוד כממוני אנרגיה?,[]
20,מהם התחומים המרכזיים אותם מכסה המחלקה להנדסה אזרחית וסביבתית?,[]
21,מדוע חשוב לשלב בין הנדסה אזרחית והנדסה סביבתית תחת מסגרת אקדמית אחת?,"[Document(id='8a42a535-7e54-4fa7-b4de-2f02a4f1a32f', metadata={'source': '363-2025.pdf', 'start_index': 1712}, page_content='דסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות מתקדמות\nהמודעות לאספקטים סביבתיים של הנדסה כימית הולכת ועולה וכך גם העניין בטכנולוגיות ירוקות.\nהמסלול יחשוף את הסטודנטים לנעשה בתחום של אנרגיה ומים.\nמסלול לביו-חומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות ה'), Document(id='1edf2272-0330-4b0b-a051-b6782f85fcf0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ת זהות\nבית הספר להנדסת חשמל ומחשבים הוא מסגרת ייחודית בנוף ההנדסה במדינת ישראל. בית הספר מאגד\nבמסגרתו מספר תכניות לימודים לתואר ראשון, כמו גם מספר תכניות לימודים לתארים מתקדמים )שני ושלישי(,\nהמספקים לסטודנטים רוחב יריעה, מגוון אפשרויות, והכרות נרחבת �')]"
22,איזה סוג בעיות מבקשת המחלקה להנדסה אזרחית לפתור?,"[Document(id='82a4e48d-7101-497d-a828-fcffe63a7a04', metadata={'source': '365-2025.pdf', 'start_index': 1279}, page_content=""רוני .\nהמחלקה להנדסת חומרים נוסדה כדי לעמוד באתגר זה של דרישות התעשייה הישראלית בתחומי הנדסת\nהחומרים ולה שתי מגמות:\nמגמת חומרים מבניים\nמגמת חומרים אלקטרוניים.\nבמידה והביקוש יהיה גדול מן ההיצע עבור מסלול מסוים, עדיפות תינתן על פי ממוצע מדרג הציונים של שניםא' ו- ב"")]"
23,כיצד מתבטאת השפעת אירועי טבע חריגים על תכנון מבנים?,[]
24,מהי החשיבות של חישוב עומסים דינמיים ברעידות אדמה?,"[Document(id='d679491c-c1d6-4588-8edf-f6b2a3ab896a', metadata={'source': '374-2025.pdf', 'start_index': 6533}, page_content='מדים\nמקצועות האנליזה והתכן. המקצועות בהנדסת מבנים מאפשרים לבוגר.ת המחלקה לתכנן וללוות את הקמתם\nשל המבנים המורכבים ביותר.\nמתמחה בהנדסת המבנים נדרש.ת לידע המודרני ביותר ולהבנה מעמיקה בהתנהגות מבנים בעומסים סטטיים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמ')]"
25,כיצד המחלקה מתייחסת לחיזוק מבנים כנגד רעידות אדמה?,[]
26,אילו מגמות לימוד מציעה המחלקה להנדסה אזרחית וסביבתית לתואר ראשון?,"[Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �'), Document(id='bab1726f-e598-4100-8573-7b5ce8a69b5b', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='�ת מכונות והמחלקה להנדסת חומרים מקיימות תוכנית משולבת לתואר כפול. התוכנית\nהמשולבת ""הנדסת מכונות וחומרים"" מעניקה לבוגריה תואר כפול: .B.Sc בהנדסת מכונותו-.B.Sc בהנדסת\nחומרים. בוגרי התוכנית יכולים להירשם בפנקס המהנדסים וכמו כן באפשרותם להמשיך ללא השלמות לתואר\n')]"
27,מדוע נדרש ידע באירועי קיצון ומיגון עבור מהנדסי מבנים?,"[Document(id='2f57bdf5-1dfd-40a6-8c1a-15dd6a2d506e', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='ים"" המתמקד\nבניהול סיכונים במבנים ובניהול אזורי אסון; ו""תכנון וניהול תשתיות למצבי חירום"" העוסק בתכנון המוכנות של\nמערכות הנדסה אזרחית לעמידות במצבי שירות חריגים. מקבץ מקצועות ייחודי זה מאפשר לסטודנטים.ות\nבמחלקה להיות חשופים.ות גם להשפעות אירועים חריגי�'), Document(id='e8180371-8789-4a1d-b40d-b284c6ac83c1', metadata={'source': '374-2025.pdf', 'start_index': 7591}, page_content='אירועים חריגים דוגמת אסונות טבע כרעידות אדמה\nוכנגד פגיעות טרור או מלחמה, המחלקה מציעה ארבעה קורסים: ""אירועים חריגים 1: דינמיקה שימושית ותכן\nסיסמי""; ""אירועים חריגים 2: מבוא למיגון מבנים""; ""אירועים חריגים 3: מבוא לניהול אירועים חריגים"" המתמקד\nבניהול סיכונים במבנים ובניהול אז'), Document(id='f94d6c21-810e-4d67-b0d5-6f0fb025f36f', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ון מבנים, המזכה באישור על\nלימוד אשכול לימודים. סטודנטים.ות אשר לומדים.ות במגמה להנדסת מבנים ולומדים.ות במסגרת זו אשכול\nשל ארבעה מקצועות מהרשימה הבאה יקבלו אישור נלווה לתעודת הבוגר כי סי ימו בהצלחה אשכול קורסים\nבתחום מיגון מבנים :\nאירועים חריגים 2: מבוא למיגון מב')]"
28,כיצד המחלקה משלבת נושאי סביבה ובנייה בתכנית הלימודים?,"[Document(id='7d686cf8-3ad1-4b84-af89-71e25739430d', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�יים מחקר מולטידיסיפלינארי המשלב מספר תחומים. כחלק אינטגרלי מגישה זו, בית\nהספר מעודד גם קבלה של תלמידי הנדסה מתחומים אחרים ותלמידים מתחומי מדעי הטבע, בהתאם להתאמתם\nלמחקרים ולתחומי העני ין של סגל החוקרים של בית הספר.\nהאופי המיוחד של תכניות הלימודים השונו'), Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.'), Document(id='7ed6a4de-28d2-467c-9bdb-533818ecd8e9', metadata={'source': '361-2025.pdf', 'start_index': 2542}, page_content=' השונות, את ההבדלים ביניהן, ואת הייחודיות של כל תכנית.\nהחל משנת הלימודים השניה מתחילים הסטודנטים להתמקד בתכנים ספציפיים בהתאם לתכנית הלימודים בה\nהם לומדים; )1( בתכנית להנדסת חשמל ומחשבים הדגשים הם על תחומים כגון הספק ואנרגיה, אלקטרומגנטיות\nומיקרוגלים'), Document(id='411882d0-aa1b-49c0-9f8a-d7b0fd61d9f0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� בתחומי מדעי המחשב.\nהלימודים בשנה הראשונה הם משותפים לכל תכניות הלימודים במסגרת ביה""ס, דבר המאפשר לסטודנטים\nלעבור בין תכניות הלימודים בתום השנה הראשונה באופן אוטומטי, בכפוף לתנאי מעבר. אפשרות זו, שהיא\nייחודית לביה""ס להנדסת חשמל ומחשבים באוניברסיטת בן-')]"
29,מהו היקף אפשרויות התעסוקה לבוגרי הנדסה אזרחית וסביבתית?,"[Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �')]"
30,מהי מטרת התכנית להנדסת תכנה באוניברסיטת בן גוריון?,[]
31,אילו תחומי ידע נכללים בתכנית להנדסת תוכנה?,"[Document(id='e15bd100-fbbe-45a9-a4a5-73075ff9cb14', metadata={'source': '361-2025.pdf', 'start_index': 12743}, page_content='מטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, והנדסת מחשבים. החל מן השנה השניה הסטודנטים בתכנית להנדסת מערכות תקשורת מתמקדים בקורסים\nמתקדמים בנושאי מחשוב, תקשורת, ורשתות, במקביל להעמקה בתחומי בסיס מתמטיים הדרושים בתחומים\nמתקדמים אלו. תכנית הלימודים מאפשרת')]"
32,כיצד מחולקים לימודי הנדסת תוכנה בהתאם לתכנית הצבירה?,[]
33,מדוע כוללת התכנית דגש על קורסי מתמטיקה וסטטיסטיקה?,[]
34,כיצד התוכנית משלבת פרויקט שנתי לתואר ראשון?,[]
35,מה ההיקף הנדרש של נקודות זכות להשלמת התואר הראשון בהנדסת תוכנה?,"[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n'), Document(id='0d574079-8ca3-4936-ba9c-94162bc7112e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� רגיל\nלתואר ראשון, בתנאי שטרם השלים את הדרישות המאפשרות לו להיות זכאי לתואר ראשון\nבמסגרת תוכנית מית""ר להנדסה. במקרה זה יתקיימו הכללים הבאים:\n1. הנקודות שנצברו לתואר שני יוכרו כקורסי בחירה לתואר ראשון.\n2. חייב להשלים את סך הנק""ז כהנדרש כמקובל בתואר ראשון.\n118\n 3. ע')]"
36,מדוע חשוב לשלב קורסים באנגלית בתכנית להנדסת תוכנה?,[]
37,"איך מסלול מית""ר מצטייני תואר ראשון בהנדסת תוכנה משולב בתכנית?",[]
38,מהו המבנה הכללי של קורסי החובה והבחירה בתוכנית?,[]
39,כיצד מאפשרת התכנית גמישות בקצב ההתקדמות בלימודי הנדסת תוכנה?,[]
40,מהו הבסיס הידע העיקרי של התכנית בהנדסת מערכות מידע?,"[Document(id='d664de0f-7f11-43b3-8690-c90261f9dc20', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�זיות של פיתוח מערכות וניתוח נתונים. לאור זאת פיתחה המחלקה שתי תוכניות לימוד\nשמטרתן להקנות מיומנויות אלו.\nתכנית הלימודים להנדסת מערכות מידע מספקת לתלמידים עקרונות וטכניקות המהוות בסיס ידע עיקרי\nלאנשי מקצוע במגוון תפקידים במערכות מידע ממוחשבות בסביבה'), Document(id='6968e237-d5e2-4b11-b15f-65a71a63aae2', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�ריית מידע בארץ ובעולם .\nתכנית הלימודים מספקת לתלמידים עקרונות וטכניקות המהווים בסיס ידע עיקרי לאנשי מקצוע במגוון\nתפקידים של מהנדסי נתונים בסביבה טכנולוגית מתקדמת. הלימודים בתחום המקצועי של הנדסת נתונים\nכוללים נושאים יסודיים בתחום כגון: מתימטיקה, �'), Document(id='eb1abd6d-5630-4c1e-a1c7-f76908c2cd77', metadata={'source': '361-2025.pdf', 'start_index': 11888}, page_content='כנולוגיות, מצריך\nהכרות מעמיקה עם שלל מרכיביו, וידע מעמיק בתחום ידע שהוא בין-תחומי בעיקרו, ומשלב נושאים בהנדסת חשמל,\nהנדסת מחשבים, מדעי המחשב, חקר ביצועים, וטכנולוגיות מידע. היקף הידע והתשתית המחקרית בתחום זה הם\nהעומדים בבסיס תכנית הלימודים לתואר בוגר במ')]"
41,אילו תחומי התמחות מוצעים במסגרת התכנית להנדסת מערכות מידע?,"[Document(id='d664de0f-7f11-43b3-8690-c90261f9dc20', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�זיות של פיתוח מערכות וניתוח נתונים. לאור זאת פיתחה המחלקה שתי תוכניות לימוד\nשמטרתן להקנות מיומנויות אלו.\nתכנית הלימודים להנדסת מערכות מידע מספקת לתלמידים עקרונות וטכניקות המהוות בסיס ידע עיקרי\nלאנשי מקצוע במגוון תפקידים במערכות מידע ממוחשבות בסביבה'), Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�')]"
42,כיצד התכנית להנדסת מערכות מידע משלבת נושאי אבטחת מידע?,"[Document(id='725445ff-eab3-4b71-b602-1550791f1800', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�ערכות מידע וטכנולוגיות מידע ונתונים מתקדמות.\nהתכנית מיועדת בעיקר לבוגרי הנדסת מערכות מידע, הנדסת תוכנה ומדעי המחשב, אך היא פתוחה גם\nלבוגרי הנדסה ומדעים אחרים הקרובים לתחום מערכות מידע. המחלקה מקיימת תכנית מיוחדת עם\nמיקוד באבטחת המרחב המקו'), Document(id='ffd8dada-4b93-4e02-afaf-5186352f2407', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�לוחמת מידע\nהמגמה נועדה להכשיר סטודנטים להיות אנשי מקצוע בתחום של אבטחת מידע במרחב המקוון הכולל\nקידוד וייצוג מידע, פרטיות, כרית מידע, אבטחת מידע, אבטחת רשתות ואבטחת מערכות ממוחשבות.\nלימודי המגמה עונים על צורך ברור של המשק באנשי מקצוע בתחום של אבטחת'), Document(id='5b38ae82-4c92-4e16-af1f-42ddf4092e39', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content=' מיועד להכשיר חוקרים ואנשי מקצוע ברמה\nאנליטית גבוהה )תואר שני( בתחום של אבטחת מידע במרחב המקוון: כולל זיהוי תקיפות ואנומליות, שיטות\nקריפטוגרפיות , קוד עוין, אבטחת רשתות והנדסת מערכות ממוחשבות. לימודי המגמה כוללים כתיבת תזה\nמחקרית בתחום, קורסי חובה ובחירה, מתו�'), Document(id='e6d93436-0a76-4ba3-a489-e216c77f3a7a', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='קי אדם מחשב, מערכות מידע ברפואה, לוחמת מידע\nמנועי חיפוש ומערכות המלצה, בסיסי נתונים, big-data\nניתוח וקבלת החלטות במערכות מידע, מידול מערכות מידע, ויזואליזציה\nפרטיות אלקטרונית\nתנאי קבלה\nזכאים להירשם לתוכנית התואר השני בהנדסת מערכות מידע, בעלי תואר ראשון ממו�'), Document(id='1f73283c-5770-4014-975a-e4924cdf57ff', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='רים לטכנולוגיות מידע מתקדמות כגון: אחזור מידע, כריית\nנתונים, אבטחת מידע, מערכות מידע רפואיות, בסיסי נתונים מבוזרים, בינה מלאכותית, למידת מכונה\nועוד. בוגר הנדסת מערכות מידע עשוי למלא תפקידים מגוונים בתחום, כגון: אפיון צרכי מחשוב של ארגונים,\nניתוח ו�'), Document(id='f0e0ce0b-c577-4010-a189-ea4c46032887', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='ח ועיצוב מערכות מידע, בסיסי נתונים, הנדסת שיטות ותהליכים, הנדסת\nגורמי אנוש, סימולציה, אוטומציה, וניהול פרויקטים. קורסי החובה מיועדים לרכישת תשתית הידע המקצועי,\nלהקניית ראייה מערכתית אינטגרטיבית, ולבניית ""ארגז הכלים"" הנדרש למהנדסי תעשייה וניהול.\n• קורסי �'), Document(id='a683299f-2e77-4dbe-a46b-4e8b314e9248', metadata={'source': '372-2025.pdf', 'start_index': 25513}, page_content=' השתתפותם בתכנית.\n22\n 3.5 התכנית להנדסת תוכנה\nמטרת התוכנית להנדסת תוכנה הינה להכשיר אנשי תוכנה בעלי השכלה רחבה בתחומים החשובים בתעשיית\nהתוכנה, החל משיטות לאפיון, מידול, ובנייה של מערכות תוכנה גדולות, וכלה בתחומי ידע כגון אבטחת מידע,\nתקשורת מחשבים, בס')]"
