,question,relevant_documents_from_dense_retrieval
112,כיצד מורכבת תכנית הלימודים לתואר ראשון בהנדסת מכונות?,"[Document(id='1fa7eb67-209f-438a-a97b-4b277fc832f4', metadata={'source': '363-2025.pdf', 'start_index': 2132}, page_content=' למחקר\nמסלול זה יחשוף את הסטודנטים כבר במהלך התואר הראשון לאספקטים שונים של עבודת מחקר\nאקדמית: מיומנויות, נושאים ואתגרים.\nבנוסף, קיימת תכנית מצוינות לתואר כפול – הנדסה כימית וכימיה: ננוטכנולוגיה. התכנית מעניקה תואר\nבוגר )B.Sc( בכימיה ותואר בוגר )B.Sc( בהנד')]"
113,איזו הכשרה בסיסית מקבלים הסטודנטים בשתי שנות הלימוד הראשונות?,"[Document(id='d87fa0d0-c255-49cd-a00c-0a7a38cdcae0', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content=' לכל אורך הלימודים. התוכנית היא בת ארבע\nשנים ומציבה אתגר ועומס לימודים גדול בפני התלמידים שמתקבלים: 210 נקודות זכות )200 נקודות זכות\nלאלו שהחלו ללמוד לפני תשע""ו( במשך ארבע השנים בהשוואהל-160 נקודות זכות הנדרשות בהנדסת\nמכונות ול-120 נקודות זכות הנדרשות במשך 3 שנים �'), Document(id='acff1bc6-35c0-44af-94ef-0cdd92ae0f5c', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='�ימיה\nותכנות מחשבים וכן במקצועות מדעי ההנדסה הבסיסיים שהוזכרו לעיל. השנתיים המתקדמות מוקדשות\nלהתמחות במסלולים לפי בחירת התלמיד. לקראת שנת הלימודים השלישית רשאי התלמיד לבחור באחד מתוך\nמתשעת מסלולי ההתמחות. במסגרת מסלול ההתמחות התלמידים לומדים מקצועות שונים')]"
114,כיצד בנויות השנים המתקדמות בלימודי הנדסת מכונות?,"[Document(id='132534c3-c27a-4bb4-8a88-f26ba3fda7d1', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='אר ראשון – הנדסת בניין\nתוכנית הלימודים של לימודי הסמכה של מהנדס.ת הבניין באוניברסיטת בן-גוריון בנגב בנויה ממקצועות מדעיים\nבסיסיים במתמטיקה, פיזיקה, כימיה ומחשוב, הניתנים על ידי הפקולטה למדעי הטבע, ושאחריהם נלמדים\nמקצועות האנליזה והתכן. המקצועות בה�')]"
115,מהו פרויקט הגמר בלימודי הנדסת מכונות?,[]
116,אילו תחומי מחקר והתמחות קיימים בקרב חברי הסגל במחלקה?,"[Document(id='12874d79-e215-4096-8761-f0fdcaa024ec', metadata={'source': '369-2025.pdf', 'start_index': 1642}, page_content=' על מחקר במעבדות המחלקה בהנחיית חברי הסגל. מהתלמידים נדרשת עבודת מחקר ברמה גבוהה\nהמתפרסמת בכתבי עת מובילים בתחום. מבחר נושאי המחקר במחלקה רחב ביותר, ומתמקד באלו הנחשבים\nלטכנולוגיות העילית שבביוטכנולוגיה, כגון: הנדסת רקמות ותאי גזע, ביו-חומרים חכמים, בי'), Document(id='4b5dfcf8-1a2b-4f1c-8b3c-41b2a7115787', metadata={'source': '372-2025.pdf', 'start_index': 24283}, page_content='ה וקיים רצון של הסטודנט ושל המנחה, הסטודנטים ישולבו בעבודה בשכר\nכעוזרי מחקר, במעבדות השונות של חברי הסגל האקדמי כבר עם קבלתם ללימודים בתכנית.\n3. קורסי בחירה : לסטודנטים בתוכנית תהיה הקצאה מיוחדת של מקומות בקורסי בחירה במחלקה, ובנוסף\nיהיו זכאים')]"
117,כיצד מתבטאת ההתנסות המעשית במסגרת הלימודים?,[]
118,מה נדרש מכל תלמיד לצבור כדי להשלים את התואר בהנדסת מכונות?,[]
119,מהו האופי הייחודי של בית הספר להנדסת חשמל ומחשבים?,"[Document(id='2121f787-f6b9-4191-a453-b7ad6990eb36', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�קדמית, והן בתעשיית ההייטק .\nמטרת בית הספר להנדסת חשמל ומחשבים היא כפולה. מחד, ביה""ס מכשיר מהנדסים בעלי רקע בסיסי במדעי\nהיסוד ובמקצועות היסוד בתחומי הנדסת החשמל, הנדסת המחשבים, והנדסת מערכות התקשורת. הרקע\nהבסיסי הוא חיוני כדי לאפשר למהנדס להתמוד'), Document(id='1edf2272-0330-4b0b-a051-b6782f85fcf0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ת זהות\nבית הספר להנדסת חשמל ומחשבים הוא מסגרת ייחודית בנוף ההנדסה במדינת ישראל. בית הספר מאגד\nבמסגרתו מספר תכניות לימודים לתואר ראשון, כמו גם מספר תכניות לימודים לתארים מתקדמים )שני ושלישי(,\nהמספקים לסטודנטים רוחב יריעה, מגוון אפשרויות, והכרות נרחבת �'), Document(id='c1ec31e2-97fb-4b94-8173-8c4a94415125', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ארי. .B.Sc: הנדסת חשמל ומחשבים, הנדסת חשמל ומחשבים עם\nהתמחות במתמטיקה, הנדסת מחשבים והנדסת מערכות תקשורת. לכל אחד מהתארים הנ""ל יש מסלולי לימוד\nשיפורטו בהמשך. הלימודים לתואר שני ושלישי במסגרת בית הספר מתקיימים במסגרת שלושה חוגים: החוג\nלהנדסת חשמל ומחשבים, ה'), Document(id='87b57f49-f25b-4e42-bdec-2092b92042f3', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�וגר במדעים (.B.Sc) בהנדסת חשמל ומחשבים\nרקע כללי\nתכנית הלימודים לתואר בוגר במדעים בהנדסת חשמל ומחשבים היא אחת התכניות במסגרת ביה""ס להנדסת\nחשמל ומחשבים באוניברסיטת בן-גוריון בנגב . העבודה בתעשיית ההיטק דורשת מהמהנדס גמישות מחשבתית\nויכולת להבין ולהתמודד עם נ'), Document(id='9227b42b-374d-4377-9488-e556f0bab77c', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שמל ומחשבים ובוגר.B.Sc במדעי המחשב. לפיכך בוגר\nהתוכנית יוכל להמשיך ללא השלמות לתואר שני בבית הספר להנדסת חשמל ומחשבים או במחלקה למדעי המחשב,\nלפי בחירתו .\nהתוכנית מיועדת לתלמידים שיעמדו בתנאי הקבלה לתואר ראשון של כל אחת מהמחלקות - הנדסת חשמל\nומחשבים ומדעי המחש'), Document(id='ec0943c5-2010-4086-b0b7-6a5d03b65d9e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ר במדעים ).B.Sc( בהנדסת מערכות תקשורת\nרקע כללי\nתכנית הלימודים לתואר בוגר במדעים בהנדסת מערכות תקשורת היא אחת התכניות במסגרת ביה""ס להנדסת חשמל\nומחשבים באוניברסיטת בן-גוריון בנגב .\nמערכות מיחשוב ומידע הפכו זה מכבר למרכיב בלתי נפרד מן החיים המודרנים. מע'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�'), Document(id='584c9243-3cb1-48cd-8603-d92bdf36d99b', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ביה""ס להנדסת חשמל ומחשבים באוניברסיטת בן-גוריון בנגב, מאפשרת לסטודנטים לקבל החלטה\nמושכלת יותר באשר לתחום הלימודים הרצוי להם, אחרי שנה שלמה שבה קיבלו הזדמנות להכיר מעט יותר\nלעומק את התכנים הרלוונטיים לתכניות השונות, את ההבדלים ביניהן, ואת הייחודיות של כ'), Document(id='7ed6a4de-28d2-467c-9bdb-533818ecd8e9', metadata={'source': '361-2025.pdf', 'start_index': 2542}, page_content=' השונות, את ההבדלים ביניהן, ואת הייחודיות של כל תכנית.\nהחל משנת הלימודים השניה מתחילים הסטודנטים להתמקד בתכנים ספציפיים בהתאם לתכנית הלימודים בה\nהם לומדים; )1( בתכנית להנדסת חשמל ומחשבים הדגשים הם על תחומים כגון הספק ואנרגיה, אלקטרומגנטיות\nומיקרוגלים')]"
120,מה מטרת בית הספר להנדסת חשמל ומחשבים בהכשרת מהנדסים?,"[Document(id='2121f787-f6b9-4191-a453-b7ad6990eb36', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�קדמית, והן בתעשיית ההייטק .\nמטרת בית הספר להנדסת חשמל ומחשבים היא כפולה. מחד, ביה""ס מכשיר מהנדסים בעלי רקע בסיסי במדעי\nהיסוד ובמקצועות היסוד בתחומי הנדסת החשמל, הנדסת המחשבים, והנדסת מערכות התקשורת. הרקע\nהבסיסי הוא חיוני כדי לאפשר למהנדס להתמוד'), Document(id='c1ec31e2-97fb-4b94-8173-8c4a94415125', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ארי. .B.Sc: הנדסת חשמל ומחשבים, הנדסת חשמל ומחשבים עם\nהתמחות במתמטיקה, הנדסת מחשבים והנדסת מערכות תקשורת. לכל אחד מהתארים הנ""ל יש מסלולי לימוד\nשיפורטו בהמשך. הלימודים לתואר שני ושלישי במסגרת בית הספר מתקיימים במסגרת שלושה חוגים: החוג\nלהנדסת חשמל ומחשבים, ה'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�'), Document(id='ec0943c5-2010-4086-b0b7-6a5d03b65d9e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ר במדעים ).B.Sc( בהנדסת מערכות תקשורת\nרקע כללי\nתכנית הלימודים לתואר בוגר במדעים בהנדסת מערכות תקשורת היא אחת התכניות במסגרת ביה""ס להנדסת חשמל\nומחשבים באוניברסיטת בן-גוריון בנגב .\nמערכות מיחשוב ומידע הפכו זה מכבר למרכיב בלתי נפרד מן החיים המודרנים. מע')]"
121,אילו תכניות לתואר ראשון מוצעות בבית הספר להנדסת חשמל ומחשבים?,"[Document(id='c1ec31e2-97fb-4b94-8173-8c4a94415125', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ארי. .B.Sc: הנדסת חשמל ומחשבים, הנדסת חשמל ומחשבים עם\nהתמחות במתמטיקה, הנדסת מחשבים והנדסת מערכות תקשורת. לכל אחד מהתארים הנ""ל יש מסלולי לימוד\nשיפורטו בהמשך. הלימודים לתואר שני ושלישי במסגרת בית הספר מתקיימים במסגרת שלושה חוגים: החוג\nלהנדסת חשמל ומחשבים, ה'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�'), Document(id='2cce989e-78c7-487b-a98d-0eacf9f44c66', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='היה לתלמיד מנחה מהמחלקה להנדסת מערכות תוכנה ומידע, ומנחה נוסף מהפקולטה למדעי\nהרפואה.\nלמי מתאימה התכנית?\nלימודי המגמה מיועדים בעיקר לבוגרי תואר ראשון בהנדסת מערכות מידע, הנדסת תוכנה, מדעי המחשב או\nתכניות דומות, או לבוגרי תואר ראשון לפחות ברפואה, במ�')]"
122,כיצד בנויה השנה הראשונה בכל התכניות בבית הספר להנדסת חשמל ומחשבים?,"[Document(id='87b57f49-f25b-4e42-bdec-2092b92042f3', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�וגר במדעים (.B.Sc) בהנדסת חשמל ומחשבים\nרקע כללי\nתכנית הלימודים לתואר בוגר במדעים בהנדסת חשמל ומחשבים היא אחת התכניות במסגרת ביה""ס להנדסת\nחשמל ומחשבים באוניברסיטת בן-גוריון בנגב . העבודה בתעשיית ההיטק דורשת מהמהנדס גמישות מחשבתית\nויכולת להבין ולהתמודד עם נ'), Document(id='411882d0-aa1b-49c0-9f8a-d7b0fd61d9f0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� בתחומי מדעי המחשב.\nהלימודים בשנה הראשונה הם משותפים לכל תכניות הלימודים במסגרת ביה""ס, דבר המאפשר לסטודנטים\nלעבור בין תכניות הלימודים בתום השנה הראשונה באופן אוטומטי, בכפוף לתנאי מעבר. אפשרות זו, שהיא\nייחודית לביה""ס להנדסת חשמל ומחשבים באוניברסיטת בן-'), Document(id='6e9ea1c8-630c-4198-b9ef-7cf3856dbae7', metadata={'source': '361-2025.pdf', 'start_index': 9563}, page_content='ית הלימודים לתואר הראשון ) .B.Sc( בהנדסת חשמל ומחשבים כוללת שנה ראשונה של\nלימודי יסוד המשותפת לכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה,\nמדעי המחשב, הנדסת חשמל, והנדסת מחשבים. במהלך השנה השנייה המשותפת כמעט במלואה עם הנדסת\nמחשב'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�'), Document(id='7ed6a4de-28d2-467c-9bdb-533818ecd8e9', metadata={'source': '361-2025.pdf', 'start_index': 2542}, page_content=' השונות, את ההבדלים ביניהן, ואת הייחודיות של כל תכנית.\nהחל משנת הלימודים השניה מתחילים הסטודנטים להתמקד בתכנים ספציפיים בהתאם לתכנית הלימודים בה\nהם לומדים; )1( בתכנית להנדסת חשמל ומחשבים הדגשים הם על תחומים כגון הספק ואנרגיה, אלקטרומגנטיות\nומיקרוגלים'), Document(id='ec0943c5-2010-4086-b0b7-6a5d03b65d9e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ר במדעים ).B.Sc( בהנדסת מערכות תקשורת\nרקע כללי\nתכנית הלימודים לתואר בוגר במדעים בהנדסת מערכות תקשורת היא אחת התכניות במסגרת ביה""ס להנדסת חשמל\nומחשבים באוניברסיטת בן-גוריון בנגב .\nמערכות מיחשוב ומידע הפכו זה מכבר למרכיב בלתי נפרד מן החיים המודרנים. מע'), Document(id='3c16cd42-0b07-416b-bee5-61a207d8ba48', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�חי הנדסת חשמל והנדסת מחשבים בהתאם לתכנית הלימודים שלו, מבנה נתונים, מערכות\nלינאריות, מעגלים אלקטרוניים, מבוא לעיבוד אותות ועוד. מקצועות אלה מקנים לתלמיד רקע בסיסי במכלול\nהנושאים המרכיבים את התואר. החל מהסמסטר החמישי ללימודים )תחילת השנה השלישית(, בוחר התל')]"
123,מדוע קיים דגש רב על מקצועות מתמטיים ופיזיקליים בתכניות הלימודים?,"[Document(id='51feecef-a562-47fc-a3a0-e0fbef9e680e', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='�ן ידע בסיסי לשם הבנת תהליכים והתנהגותם של\nחומרים בתנאים שונים. כמו כן, מודגש הקשר בין מבנה החומרים לבין תכונותיהם הפיסיקליות, המכניות\nוהאלקטרוניות. בשנת הלימודים הרביעית לתלמידים ניתן גם ספקטרום רחב של מקצועות בחירה המאפשרים\nלהרחיב ולהעמיק את הידע במספר'), Document(id='eb998a76-4cb2-4ad8-bb92-8e7e22a16758', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='לימוד הקורס ""מבוא לפיסיקה - מכניקה"" לפני\nתחילת שנת הלימודים. קורס זה ניתן במסגרת המכינה במהלך הקיץ.\n2. מקצועות יסוד במדעי הטבע - מקצועות חובה בסיסיים הכוללים מקצועות מתמטיים ופיזיקליים .\n3. מקצועות יסוד בהנדסת מחשבים - מקצועות חובה המקנים לתלמיד ידע ב�')]"
124,מה מאפשר המעבר בין התכניות בתום השנה הראשונה?,"[Document(id='4b20d474-ebba-4677-a54f-d3aeda67abf4', metadata={'source': '361-2025.pdf', 'start_index': 132973}, page_content='קשרות זו לא מבטיחה\nקבלה למסלול המחקרי בסיום תקופת ""לימודי הצבירה"".\n4. בשלב ""לימודי הצבירה"" ישלם התלמיד שכר לימוד לפי מספר הנק""ז בפועל, שיחויבו על פי התעריף\nהנהוג באוניברסיטה בלימודי התואר השני.\n5. תוך 3 שנים מתחילת התוכנית, על התלמיד לבחור במסלול לימודים: מסלול מ'), Document(id='ab7cafbe-5fe9-48b1-9748-62ae8a950ee8', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�שפ""ג.\n3.3 מעברים בין תוכניות\nהמעברים בין התוכניות יתאפשרו בסוף כל שנה אקדמית.\nבמעבר בין המחלקות ישקלו הגורמים הבאים :\n1. ממוצע כללי: הדרישה היא שהממוצע יהיה גבוהמ-80.\n2. מכסת הסטודנטים בתוכנית אליה מתוכננים לעבור.\n3. הסכמת ראש התוכנית.\nמעבר בין התוכניות עלו'), Document(id='63f4a2cd-e8f0-4b0e-87de-32e41fb98f9b', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='דים במקביל לגיוסם\nותשמר להם הזכות לחזור למסלול עד 5 שנים מיום תחילת התואר השני.\n11. תלמיד הלומד במסגרת העתודה האקדמית הצבאית, יצטרך לתאם את לימודיו עם העתודה.\nהאחריות היא על התלמיד מול הצבא ועליו להציג אישור הצבא ללימודים במסלול זה.\nג . מלגות סיוע, מלגות שכר �')]"
